YEAR;MONTH;DATE;CLIEN;COD_LOCATION;PRODUCT;AMOUNT
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEX11-056;526.3
2023;1;1/02/2023;ARC-123;LOC:101;CEC00--456;526.3
2023;1;1/02/2023;ARC-123;LOC:01;CEC00--456;526.3
2023;1;1/02/2023;ARC-123;LOC:01;CEC00--456;526.3
2023;1;1/02/2023;ARC-123;LOC:01;CEC00--456;526.3
