YEAR;MONTH;DATE;CLIEN;COD_LOCATION;PRODUCT;AMOUNT
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
2023;1;1/01/2023;ARC-123;LOC:1;CEC001-456;526.3
